<<<<<<< Updated upstream
Request: GET /api/ping
Request: GET /api/ping
Request: POST /api/auth/login
Request: GET /api/ping
Request: GET /api/ping
Request: POST /api/auth/login
Request: GET /api/ping
Request: GET /api/ping
Request: POST /api/auth/signup
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/profile
Request: GET /api/profile
Request: GET /api/profile
Request: GET /api/profile
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/profile
Request: GET /api/profile
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/ping
Request: GET /api/ping
Request: POST /api/auth/login
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/profile
Request: GET /api/profile
Request: PUT /api/profile
Request: GET /api/measurements/latest-analysis
Request: GET /api/workout/today
Request: GET /api/measurements/monthly-summary
Request: GET /api/user/overview
Request: GET /api/measurements/latest-analysis
Request: GET /api/workout/today
Request: GET /api/user/overview
Request: GET /api/measurements/monthly-summary
Request: GET /api/workout/today
Request: GET /api/measurements/latest-analysis
Request: GET /api/measurements/monthly-summary
Request: GET /api/user/overview
Request: GET /api/workout/today
